"Datum zahájení";"Město";"Název";"Odběratel";"Ulice";"Číslo faktury";"Jazyk";"GPS";"Poznámka";"Ozvučení";"Čas příjezdu (na akci)";"Čas odjezdu (na akci)";"Příprava";"Smlouva";"Web";"Kontaktní osoby";"Země";"Kraj";"Způsob dopravy"
"8.10.2017";"Sezimovo Ústí";"Sezimovo Ústí 8.10.2017";"Městské středisko kultury a sportu";"Kino Spektrum Dukelská 630/1";"P-př.49/2017";"Čeština";"49.379132,14.702049";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"16.10.2017";"Český Krumlov";"Český Krumlov 16.10.2017";"A.R.G.O. historie pro film, s.r.o.";"centrum";"P-př.50/2017";"Čeština";"";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"22.10.2017";"Beroun";"Beroun 22.10.2017";"Luboš Sobotka";"KD Plzeňka,Plzeňská 48";"P-př.51/2017";"Čeština";"49.960896,14.065182";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"3.11.2017";"Trutnov";"Trutnov 3.11.2017";"Muzeum Podkrkonoší v Trutnově";"náměstí Republiky 999";"P-př.52/2017";"Čeština";"50.563205,15.910691";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"11.11.2017";"Příbraz";"Příbraz 11.11.2017";"Příbrazský Plaváček z.s.";"Příbraz 23";"P-př.53/2017";"Čeština";"49.050224,14.937691";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"25.11.2017";"Praha ";"Praha Uhřiněves 25.11.2017";"Dům dětí a mládeže Praha 10 - Dům UM";"K Sokolovně 201,";"P-př.54/2017";"Čeština";"50.029253,14.605584";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"1.12.2017";"Tábor";"Tábor 1.12.2017";"Město Tábor";"Žižkovo náměstí";"P-př.55/2017";"Čeština";"49.414371,14.658709";"Andělé+Andělská pošta";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"2.12.2017";"Praha ";"Praha Březiněves 2.12.2017";"MERLET s.r.o.";"Praha Březiněves - Ulice u Parku před žlutou budovou hasičů.";"P-př.56/2017";"Čeština";"50.165071,14.485550";"Andělská pošta";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"3.12.2017";"Třinec";"Třinec 3.12.2017";"TRISIA, a.s.";"Náměstí svobody - +KD";"P-př.57/2017";"Čeština";"49.668659,18.674682";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"3.12.2017";"Duchcov";"Duchcov 3.12.2017";"Město Duchcov,kulturní centrum Duchcov";"Náměstí Republiky";"P-př.58/2017";"Čeština";"50.6025269,13.7463244";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"5.12.2017";"Praha ";"Praha 05.12.2017";"B P R-Bohemia public relation s.r.o.";"AbbVie s.r.o.Metronom Business Center, Bucharova 2817/13";"P-př.59/2017";"Čeština";"50.051820,14.350233";"Mikuláš,čert,anděl";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"10.12.2017";"Šumperk";"Šumperk 10-11.12.2017";"Dům kultury Šumperk, s.r.o.";"Dům kultury,Fialova 3";"P-př.60/2017";"Čeština";"49.964304,16.979554";"2x Byla cesta byla ušlapaná";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"10.12.2017";"Šumperk";"Šumperk 10-11.12.2017";"ZDVOJENO";"Dům kultury,Fialova 3";"ZDVOJENO";"Čeština";"49.964304,16.979554";"2x Byla cesta byla ušpaná";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"16.12.2017";"Hradec nad Moravicí";"Hradec nad Moravicí 16.12.2017";"Město Hradec nad Moravicí";"Podolská 156";"P-př.62/2017";"Čeština";"49.872035,17.876010";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"16.12.2017";"Hradec nad Moravicí";"Hradec nad Moravicí 16.12.2017";"Město Hradec nad Moravicí";"Podolská 156";"P-př.61/2017";"Čeština";"49.872035,17.876010";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"16.12.2017";"Praha ";"Praha 16.12.2017";"Dům dětí a mládeže Praha 10 - Dům UM";"Staroújezdská 2300, 19016 - Praha - Pod Strašnickou vinicí 23 / Praha 10";"P-př.63/2017";"Čeština";"50.076241,14.658651";"2x";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"16.12.2017";"Praha ";"Praha 16.12.2017";"ZDVOJENO";"Staroújezdská 2300, 19016 - Praha - Pod Strašnickou vinicí 23 / Praha 10";"ZDVOJENO";"Čeština";"50.076241,14.658651";"2x";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"17.12.2017";"Trutnov";"Trutnov 17.12.2017";"Muzeum Podkrkonoší v Trutnově";"Společenské centrum UFFO";"P-př.64/2017";"Čeština";"50.563382,15.910333";"2x";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"17.12.2017";"Trutnov";"Trutnov 17.12.2017";"ZDVOJENO";"Společenské centrum UFFO";"ZDVOJENO";"Čeština";"50.563382,15.910333";"2x";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"22.12.2017";"Valašská Bystřice";"Valašská Bystřice 22.12.2017";""bez dokladu"";"Náves";"";"Čeština";"49.414384,18.109711";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"23.10.2018";"Český Krumlov";"Český Krumlov 5.10.2018";"GUARANT International spol. s r.o.";"Zámecká jízdárna";"P-př.045/2018";"Čeština";"48.812825,14.310223";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"23.10.2018";"Sezimovo Ústí";"Sezimovo Ústí 21.10.2018";"Městské středisko kultury a sportu";"Kino Spektrum Dukelská 630/1";"P-př.047/2018";"Čeština";"49.379132,14.702049";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"23.10.2018";"Chrastava";"Chrastava 23.10.2018";"Luboš Sobotka";"kino, Turpišova ul.  236";"P-př.048/2018";"Čeština";"50.816117,14.967310";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"29.6.2013";"Hosín";"Hosín 29.6.2013";"Obec Hosín";"Hosín 17";"P-př.20/2013";"Čeština";"49.037111,14.476322";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"29.6.2013";"Třebíč";"Třebíč 29.6.2013";"Městské kulturní středisko Třebíč";"Areál baziliky sv. Prokopa a Valdštejnského zámku";"A-př.07/2013";"Čeština";"49.217652,15.873211";"29-30.6. - PTáčci Čára 2x";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"30.6.2013";"Třebíč";"Třebíč 30.6.2013";"ZDVOJENO";"Areál baziliky sv. Prokopa a Valdštejnského zámku";"ZDVOJENO";"Čeština";"49.217652,15.873211";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"28.6.2013";"Slavonice";"Slavonice 28.6.2013";"Mateřská škola Slavonice, Brněnská 200";"Mš";"P-př.19/2013";"Čeština";"48.996958,15.358303";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"22.6.2013";"Skalica";"Skalica 22.6.2013";"MEDIA INVEST COMPANY s.r.o.";"Baťov kanaál";"A-př.06/2013";"Čeština";"";"";"";"";"";"0 min";"";"";"";"Slovensko";"Západoslovenský";"Iveco"
"22.6.2013";"Bořanovice";"Bořanovice 22.6.2013";"OBEC BOŘANOVICE";"u obecního úřadu";"A-hot.06/2013";"Čeština";"50.178463,14.477881";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"22.6.2018";"Opava";"Opava 22.6.2018";"Středisko volného času, Opava, příspěvková organizace";"Náměstí";"A-hot.07/2013";"Čeština";"49.938851,17.901451";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"23.6.2013";"Hradec nad Moravicí";"Hradec nad Moravicí 23.6.2013";"Středisko volného času, Opava, příspěvková organizace";"Park ,zámek";"A-hot.07/2013";"Čeština";"49.865025,17.874907";"Park 49.864298, 17.867173
Opava";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"22.6.2013";"Kutná Hora";"Kutná Hora 22-23.6.2013";"Stříbrná Kutná Hora, z.s.";"Historické centrum";"P-hot.09/2013";"Čeština";"49.944935,15.262925";"Král";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"22.6.2013";"Zlukov";"Zlukov 22.6.2013";"Obec Zlukov";"Náves";"P-př.18/2013";"Čeština";"49.192488,14.744854";"Abé-Skřítek Kůk";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"15.6.2013";"Vimperk";"Vimperk 15.6.2013";"Město Vimperk";"Náměstí Svobody";"P-př.17/2013";"Čeština";"49.052401,13.772995";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"15.6.2013";"Holíč";"Holíč 15.6.2013";"MEDIA INVEST COMPANY s.r.o.";"Zámek";"P-př.12/2013";"Čeština";"48.808972,17.158049";"";"";"";"";"0 min";"";"";"";"Slovensko";"Východoslovenský";"Iveco"
"16.6.2013";"Skalica";"Skalica 16.6.2013";"MEDIA INVEST COMPANY s.r.o.";"Zlatnická Dolina";"P-př.13/2013";"Čeština";"48.825510,17.299618";"";"";"";"";"0 min";"";"";"";"Slovensko";"Západoslovenský";"Iveco"
"14.6.2013";"Zliv";"Zliv 14.6.2013";"Agentura Kultur-Kontakt";"Prym Consumer cz S.r.o.";"P-př.16/2013";"Čeština";"49.072557,14.370843";"Moderátor";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"15.6.2013";"Koleč";"Koleč 15.6.2013";"Nadační fond Koleč";"Zámek";"P-př.14/2013";"Čeština";"50.197043,14.222768";"Emil Navrátil Princezna se zlatou hvězdou na čele";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"15.6.2013";"Nové Hrady";"Nové Hrady 15.6.2013";"Město Nové Hrady";"Hrad";"P-př.15/2013";"Čeština";"48.789435,14.776830";"Moderátor";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"13.6.2013";"Praha ";"Praha 13.6.2013";"Mš Juárezova";"Mš Juárezova";"P-hot.08/2013";"Čeština";"50.106959,14.404260";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"8.6.2013";"Karlovy Vary";"Karlovy Vary 8.6.2013";"ART Prometheus, zapsaný spolek";"Centrum";"A-př.04/2013";"Čeština";"50.229431,12.874669";"";"";"";"";"0 min";"";"";"";"Česká republika";"Západočeský";"Iveco"
"8.6.2013";"České Budějovice";"České Budějovice 8.6.2013";"Nádravský";"Tenisové kurty";"P-bez.02/2013";"Čeština";"";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"8.6.2013";"Litovel";"Litovel 8.6.2013";"Městský klub Litovel";"Park";"P-př.11/2013";"Čeština";"49.699374,17.077010";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"7.6.2013";"Prachatice";"Prachatice 7.6.2013";"Národní muzeum";"Náměstí";"A-př.05/2013";"Čeština";"49.012532,13.997797";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"7.6.2013";"Bílá Lhota";"Bílá Lhota 7.6.2013";"Vlastivědné muzeum v Olomouci";"Arboretum";"P-př.10/2013";"Čeština";"49.709557,16.975073";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"6.6.2013";"Olomouc";"Olomouc 6.6.2013";"Vlastivědné muzeum v Olomouci";"Vlastivědní muzeum";"P-př.10/2013";"Čeština";"49.596287,17.257341";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"6.6.2013";"Český Krumlov";"Český Krumlov 6.6.2013";"METROPOL, spol. s r.o.";"Zámek I nádvoří";"A-hot.04/2013";"Čeština";"48.812656,14.317058";"Klavírista Sergey";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"4.6.2013";"České Budějovice";"České Budějovice 4.6.2013";"ARSKLUB";"U Černé Věže";"P-bez.03/2013";"Čeština";"48.975597,14.475852";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"1.6.2013";"Horní Planá";"Horní Planá 1.6.2013";"Město Horní Planá";"Náměstí";"A-př.02/2013";"Čeština";"48.767186,14.032422";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"1.6.2013";"Vodňany";"Vodňany 1.6.2013";"Pionýr, z. s. - Pionýrská skupina KAMPANUS";"KD";"A-př.03/2013";"Čeština";"49.145742,14.176476";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"1.6.2013";"České Budějovice";"České Budějovice 1.6.2013";"Heba Agency s.r.o.";"Mercury";"A-hot.05/2013";"Čeština";"48.973287,14.488046";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"1.6.2013";"Ostrá";"Ostrá 1.6.2013";"Botanicus, spol. s r.o.";"Botanicus";"P-hot.07/2013";"Čeština";"50.180455,14.894981";"2x";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"1.6.2013";"Ostrá";"Ostrá 1.6.2013";"ZDVOJENO";"Botanicus";"ZDVOJENO";"Čeština";"50.180455,14.894981";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"31.5.2013";"Nečtiny";"Nečtiny 31.5.2013";"Obec Nečtiny";"Kaple";"P-př.09/2013";"Čeština";"49.961467,13.163004";"";"";"";"";"0 min";"";"";"";"Česká republika";"Západočeský";"Iveco"
"25.5.2013";"Hradec Králové";"Hradec Králové 25.5.2013";"Klásek Štěpán";"Columbárium";"A-bez.01/2013";"Čeština";"50.209127,15.822383";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"25.5.2013";"Brno";"Brno 25.5.2013";"Kulturní středisko Omega, příspěvková organizace";"Park Schreberovy zahrádky";"P-př.08/2013";"Čeština";"49.207979,16.620494";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihomoravský";"Iveco"
"18.5.2013";"Ostrá";"Ostrá 18.5.2013";"Botanicus, spol. s r.o.";"Botanicus";"P-hot.06/2013";"Čeština";"50.180445,14.894930";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"18.5.2013";"Ostrá";"Ostrá 18.5.2013";"ZDVOJENO";"Botanicus";"ZDVOJENO";"Čeština";"50.180445,14.894930";"2x";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"18.5.2013";"Vodňany";"Vodňany 18.5.2013";"Městské kulturní středisko Vodňany";"Sportovní areál Blanice";"P-př.07/2013";"Čeština";"49.152064,14.180015";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"4.5.2013";"České Budějovice";"České Budějovice 4.5.2013";"Agentura KPR s.r.o.";"České Vrbné";"P-př.06/2013";"Čeština";"49.013721,14.452067";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
