"Jméno";"IČ";"DIČ";"Mobilní telefon";"Telefon do práce";"Banka";"Osoba";"Země";"Kraj";"Město";"PSČ";"Ulice";"Číslo účtu";"Var. symbol";"Skupina";"Poznámka"
"Obec Dobrá Voda U Pacova";"00 511358";"";"725 101 088";"";"";"Zíka Miloslav Matěj";"Česká republika";"Jihočeský";"Dobrá Voda u Pacova";"395 01";"Školní 31";"";"";"Městské a obecní úřady";""
"Kalvasová Gabriela";"885 29 070";"";"731 082 743";"";"";"í";"Česká republika";"Jihočeský";"Veselí nad Lužnicí";"391 81";"Ak. Bydžovského 458";"";"";"Agentury";""
"Chateau Radíč s.r.o.";"289 14198";"";"777 799 877";"";"";"Šicha Jan";"Česká republika";"Středočeský";"Sedlčany";"264 01";"Radíč 1";"";"";"Agentury";""
"Kreadence-otevřený kulturní prostor";"22 72 45 91";"";"785 240 021";"";"";"Lysenko-Chvílová Petra";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Riegrova 51";"";"";"Agentury";""
"ART Service Kristýna Štěpánková";"87491613";"";"723 864 398";"";"";"Štěpánek Luděk";"Česká republika";"Jihočeský";"Horní Planá";"382 26";"Nad Hřištěm 421";"";"";"Agentury";""
"Dialog CB z.s.";"02 79 87 94";"";"724 981 240";"";"";"Kalistová Dana";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Riegrova 1756/51";"";"";"Agentury";""
"Nazaret-Středisko DM CČSH";"73633321";"";"736 711 253";"";"";"Pechová";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Žižkovo náměstí 1";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Městské středisko kultury a sportu";"71195424";"";"737 254 683";"";"";"Krůčková Romana";"Česká republika";"Jihočeský";"Sezimovo Ústí";"391 01";"Nám. Tomáše Bati 701";"";"";"Divadla,Kulturní zařízení";""
"OÚ Vrátkov";"00639753";"";"739 708 243";"";"";"Susová Dana";"Česká republika";"Středočeský";"Český Brod";"282 01";"Vrátkov 17,";"";"";"Městské a obecní úřady";""
"Městská část Praha - Dolní Počernice";"00240150";"CZ00240150";"720 361 314";"";"";"Václavková Vlasta";"Česká republika";"Středočeský";"Praha ";"110 00";"Stará obec 10";"";"";"Městské a obecní úřady";""
"ZŠ a MŠ Černovice";"62 54 01 06";"";"";"565 492 127";"";"Nováková Jana";"Česká republika";"Jihočeský";"Černovice";"394 94";"Bělohrobského 367";"";"";"Školy";""
"Základní škola a základní umělecká škola, Bezdrevská 3, České Budějovice";"00666131";"";"606 439 706";"";"";"Mlčáková Jana";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Bezdrevská 3";"";"";"Školy";""
"Menšík Marek";"";"";"724 786 591";"";"";"Menšík Marek";"Česká republika";"Jihočeský";"Jindřichův Hradec";"377 01";"";"";"";"Soukromé osoby";""
"Mondschein Tomáš";"";"";"x";"";"";"Mondschein Tomáš";"Česká republika";"Středočeský";"Stránčice";"";"";"";"";"Soukromé osoby";""
"Fundraising, PR a kultura";"";"";"kultura@domovrepy.cz";"";"";"Straková Monika";"";"";"";"";"";"";"";"Agentury";""
"Okrašlovací spolek přátelé Černého vršku";"";"";"732 156 122";"";"";"Suchý Tomáš";"Česká republika";"Středočeský";"Beroun";"266 01";"Beroun 2/540";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Dům kultury Šumperk, s.r.o.";"25818830";"CZ25818830";"777 652 073";"";"";"Faltusová Monika";"Česká republika";"Severomoravský";"Šumperk";"787 01";"Fialova 3";"";"";"Divadla,Kulturní zařízení";""
"Pod čarou, z.s.";"70516448";"";"774 598 332";"";"";"Pokorný Miroslav";"Česká republika";"Jihočeský";"Písek";"397 01";"Tyršova 28";"";"";"Divadla,Kulturní zařízení";""
"HUKOT CB,z.s.";"01 79 89 10";"";"776 419 579";"";"";"Znoj Petr";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Vrchlického nábřeží 285/1";"";"";"";""
"Adam Vačkář";"70071098";"";"602 667 472";"";"";"Vačkář Adam";"Česká republika";"Středočeský";"Praha ";"110 00";"Hařmanova 8";"";"";"";""
"Malá Paříž z.s.";"01335081";"";"608 381 424";"";"";"Moravec Antonín";"Česká republika";"Severočeský";"Teplice";"415 95";"Modlany 94";"";"";"Agentury";""
"Jihomoravské muzeum ve Znojmě, příspěvková organizace";"00092738";"";"776 799 559";"";"";"Mažaroná Monika";"Česká republika";"Jihomoravský";"Znojmo";"669 02";"Přemyslovců 129/8";"";"";"Agentury";""
"Středisko volného času Lipník nad Bečvou, příspěvková organizace";"495 58 595";"";"734 763 572";"";"";"Řeháková Drahomíra";"Česká republika";"Severomoravský";"Lipník nad Bečvou";"751 31";"Komenského sady 1334";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Václav Koubek";"48045080";"";"602 317 371";"";"";"Koubek Václav";"Česká republika";"Středočeský";"Praha ";"110 00";"Na můstku 380";"";"";"Agentury";""
""Přehvozdíčko o.s."";"22 83 22 71";"CZ22 83 22 71";"777 897 700";"";"";"Vosecká R.";"Česká republika";"Středočeský";"Přehvozdí";"281 63";"Přehvozdí 88";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Hurych Oldřich";"";"";"776 003 725";"";"";"Hurych Oldřích";"Česká republika";"";"";"";"";"";"";"Žonglér";""
"KZ Gama";"";"";"774 905 686";"";"";"Dospivová Šárka";"Česká republika";"";"Ostrava";"729 29 ";"";"";"";"Divadla,Kulturní zařízení";""
"Pečenka Simon";"";"";"775 315 389";"";"";"Pečenka Šimon";"Česká republika";"Středočeský";"";"";"";"";"";"Soukromé osoby";""
"OSTROV POHODY zapsaný spolek";"26531682";"";"607 297 027 ; 777616696";"";"";"Pavla Müllerová";"Česká republika";"Východočeský";"Žďár nad Sázavou";"591 01";"Vrchlického 419/8,";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Brilo Team s.r.o.";"05522820";"CZ05522820";"+420 735 753 000";"";"Fio banka";"Tomáš Kocifaj";"Česká republika";"Jihočeský";"Písek";"397 01";"Vladislavova 250";"";"";"Agentury";"DEVELOPEŘI - TESTEŘI"
"Městská část Praha 8";"63497";"CZ00063798";"601306110";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"";""
"SH ČMS - Sbor dobrovolných hasičů Svojšovice";"65996691";"";"775 709 840";"";"";"Tomáš Mondschein";"Česká republika";"Středočeský";"Stránčice";"";"Revoluční 383";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Znojemská Beseda";"00092720";"";"";"";"";"";"Česká republika";"";"Znojmo";"669 02";"";"";"";"";""
"Město Březnice";"00242004";"";"";"";"";"Bartoníčková Petra";"Česká republika";"";"";"";"";"";"";"Agentury";""
"Kulturní zařízení Kadaň, příspěvková organizace";"75110245";"";"777 806 750";"";"";"Jan Milota";"Česká republika";"Severočeský";"Kadaň";"432 01";"Čechova 147";"";"";"Divadla,Kulturní zařízení";""
"NAŠLOSE";"26602563";"";"777 667 801";"";"";"Jana Durďáková";"Česká republika";"Středočeský";"Sedlčany";"264 01";"";"";"";"Agentury";""
"Městské centrum kultury a vzdělávání, p.o.";"28105222";"";"702 000 814";"";"";"";"Česká republika";"";"Týn nad Vltavou ";"375 01";"";"";"";"Agentury";""
"Městské centrum kultury a vzdělávání,p.o.";"28105222";"";"702 000 814";"";"";"Gabriela Ranglová";"Česká republika";"";"Týn nad Vltavou ";"375 01";"";"";"";"";""
"SPRÁVA STÁTNÍHO ZÁMKU ŽLEBY";"75032333";"";"773 797 588";"";"";"";"Česká republika";"";"";"";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Divadlo nad Labem, o.s.";"27036910";"";"732 186 894";"";"";"Jiří Kraus";"Česká republika";"Severočeský";"Most";"434 01";"Lidická 22/607";"";"";"Divadla,Kulturní zařízení";""
"Spolek Most - České Budějovice";"49021125";"";"";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Příbrazský Plaváček z.s.";"22842233";"";"724 132 556";"";"";"Blažková Markéta";"Česká republika";"";"Příbraz";"378 02";"";"";"";"Agentury";""
"Památník Lidice";"70886342";"";"736 642 318";"";"";"";"Česká republika";"";"Lidice";"273 54";"";"";"";"Agentury";""
"ZŠ Třemošnice";"";"";"";"";"";"";"Česká republika";"";"Třemošnice";"538 43";"";"";"";"Školy";""
"Chateau Čivice s.r.o.";"27471756";"";"";"";"";"";"Česká republika";"";"";"";"";"";"";"";""
"Šárka Hrušková";"72180960";"";"777 114 431";"";"";"";"Česká republika";"";"Želeč";"391 74";"";"";"";"Agentury";""
"Kulturní a vzdělávací středisko "U Tří kohoutů", příspěvková organizace";"00101508";"CZ00101508";"602522048;725 825 597";"";"";"Jelínková Šárka";"Česká republika";"";"Brno";"614 00";"";"";"";"Agentury";""
"CVČ Poškolák Hluboká z.s.";"22899529";"";"777 278 426";"";"";"Chromá Valerie";"Česká republika";"";"Hluboká nad Vltavou";"373 41";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Městský kulturní klub Hlinečan, příspěvková organizace";"43499678";"";"734 794 557";"";"";"Sedlák Petr";"Česká republika";"";"Hlinsko";"539 01";"";"";"";"Agentury";""
"Spolek rodičů a přátel dětí a školy při ZŠ Třemošnice, z.s.";"27046290";"";"728048525";"";"";"Štolfová";"Česká republika";"";"Třemošnice";"538 43";"";"";"";"Školy";""
"IMY, o.p.s.";"70812187";"";"731 166 295";"";"";"Hnojnová Lucie";"Česká republika";"";"Soběslav";"392 01";"";"";"";"Agentury";""
"Obec Horní Dvořiště";"00245887";"CZ00245887";"736 710 086";"";"";"Ďurková Anna";"Česká republika";"Jihočeský";"Horní Dvořiště";"382 93";"Horní Dvořiště 26";"";"";"Městské a obecní úřady";""
"Smazat";"";"";"";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Mateřská škola Boršov nad Vltavou";"75121841";"";"778 032 021";"";"";"Brodská Jana";"Česká republika";"Jihočeský";"Boršov nad Vltavou";"373 82";"Ke školce 30";"";"";"Školy";""
"Junák - český skaut, Jihočeský kraj, z. s.";"70912386";"";"775 103 339";"";"";"Lukas Bica";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Mateřská škola Strmilov, okres Jindřichův Hradec";"70984522";"";"606 408 124";"";"";"";"Česká republika";"";"Strmilov";"378 53";"";"";"";"Školy";""
"Zařízení pro další vzdělávání pedagogických pracovníků a Středisko služeb školám, České Budějovice, Nemanická 7";"75050102";"";"";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Czech marketing, s.r.o.";"25265652";"CZ25265652";"603 851 851";"";"";"Gabriela Čebišová";"Česká republika";"";"Pardubice";"530 02";"";"";"";"Agentury";""
"Obec Chotýčany";"00581402";"";"702 435 080";"";"";"";"Česká republika";"";"Chotýčany";"373 62";"";"";"";"Městské a obecní úřady";""
"Blažek Jan";"";"";"";"";"";"Blažek Jan";"Česká republika";"Jihočeský";"Český Krumlov";"381 01";"Novosedly 6";"";"";"Agentury";""
"Městys Ledenice";"00245135";"CZ00245135";"606443518";"";"";"Křížová Jaroslava";"Česká republika";"";"Ledenice";"373 11";"";"";"";"";""
"X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ry:Bar Lipno";"";"";"";"";"";"";"";"";"";"";"";"";"";"Agentury";""
"AAAAAAAAAAA zaměnit";"";"";"";"";"";"Švehlová Táňa";"Česká republika";"Středočeský";"Praha ";"110 00";"";"";"";"Agentury";""
"RODINNÉ CENTRUM PECKA O.S.";"26557444";"";"";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Lomnice nad Lužnicí";"00247022";"";"724 157 968";"";"";"Božovská Marcela";"Česká republika";"";"Lomnice nad Lužnicí";"378 16";"";"";"";"Městské a obecní úřady";""
"Dům kultury Ostrov, příspěvková organizace";"00520136";"";"";"";"";"Fialová Eliška";"Česká republika";"Západočeský";"Ostrov";"363 01";"Mírové nám. 733";"";"";"";""
"Biskupství českobudějovické";"00445118";"";"731 402 820";"";"";"Furstová Martina";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Biskupská 132/4";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Městské kulturní centrum Beroun";"00335371";"";"737 300 700";"";"";"Suchý Tomáš";"Česká republika";"";"Beroun";"266 01";"";"";"";"Divadla,Kulturní zařízení";""
"MĚSTSKÉ KULTURNÍ STŘEDISKO V NÁMĚŠTI NAD OSLAVOU";"18127746";"";"725 825 597";"";"";"Jelínková Šárka";"Česká republika";"Jihomoravský";"Náměšť nad Oslavou";"675 71";"MASARYKOVO NÁMĚSTÍ 100";"";"";"Divadla,Kulturní zařízení";""
"Egmont ČR,s.r.o.";"49243331";"";"602 242 459";"";"";"Chromá Valerie";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"London Finance and Investment Corporation a.s.";"26031621";"";"724 690 354";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Mateřské centrum Boskovice, z.s.";"27007375";"";"775 995 403";"";"";"";"Česká republika";"Jihomoravský";"Boskovice";"680 01";"Masarykovo náměstí 21/20";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Tomáš Krtička";"72877561";"";"605 441 718";"";"";"Krtička Tomáš";"Česká republika";"Východočeský";"Hradec Králové";"500 02";"";"";"";"Agentury";""
"Dobrovolný svazek obcí Mikroregion Valašskomeziříčsko - Kelečsko";"70956545";"";"737 966 264";"";"";"Zelínková Gabriela";"Česká republika";"";"Valašské Meziříčí";"757 01";"";"";"";"Agentury";""
"Základní článek Hnutí Brontosaurus Forest";"62536991";"";"";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Městské kulturní středisko Protivín";"00374717";"";"737 528 967";"";"";"Karfíková";"Česká republika";"Jihočeský";"Protivín";"398 11";"Mírová 337";"";"";"Divadla,Kulturní zařízení";""
"B P R-Bohemia public relation s.r.o.";"64050211";"";"";"";"";"Pochop Martin";"Česká republika";"Severočeský";"Sychrov ";"463 44";"Červenice 22";"";"";"Agentury";""
"Agentura Dobrý den, s.r.o.";"25160508";"";"";"";"";"";"Česká republika";"";"Pelhřimov";"393 01";"";"";"";"Agentury";""
"Město Hradec nad Moravicí";"00300144";"";"725 666 073";"";"";"Orlíková Pavla";"Česká republika";"Severomoravský";"Hradec nad Moravicí";"747 41";"Opavská 265";"";"";"Městské a obecní úřady";""
"SHŠ Berit z.s.";"22676287";"";"723 788 682";"";"";"Švehla Jan";"Česká republika";"Jihočeský";"Tábor";"390 15";"";"";"";"Agentury";""
"FOOTFEST s.r.o.";"06411118";"";"777 114 431";"";"";"Lanžhotská Dagmar";"Česká republika";"";"Želeč";"391 74";"";"";"";"Agentury";""
"W sdružení Písek z.s.";"68537964";"";"731 275 690";"";"";"Čápová Jitka";"Česká republika";"";"Písek";"397 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"MAS Český Západ, z.s.";"26659981";"";"774 499 396";"";"";"Florián Jan";"Česká republika";"Západočeský";"Konstantinovy Lázně";"349 52";"Lázeňská 63";"";"";"Agentury";""
"Rattenschwanz z.s.";"27036235";"";"604 125 109";"";"";"Korolus Václav";"Česká republika";"";"Budyně nad Ohří";"411 18";"";"";"";"Agentury";""
"ZDVOJENO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kulturní dům, příspěvková organizace";"60060182";"";"603 495 985";"";"";"Suchodová Věra";"Česká republika";"Jihočeský";"Veselí nad Lužnicí";"391 81";"Třída Čs. armády 560";"";"";"Divadla,Kulturní zařízení";""
"Kredance, z. s.";"22724591";"";"785 240 021";"";"";"Petra Lysenko-Chvílová";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Zeyerova 612/29";"";"";"Agentury";""
"Nazaret, středisko Diakonie a misie Církve československé husitské";"73633321";"";"736 711 253";"";"";"Pechová";"Česká republika";"";"Trhové Sviny";"374 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obec Vrátkov";"00639753";"";"";"";"";"";"Česká republika";"";"";"";"";"";"";"Městské a obecní úřady";""
"Městská část Praha-Dolní Počernice";"00240150";"";"720 361 314";"";"";"Václavková Vlasta";"Česká republika";"";"Dolní Počernice";"190 12";"";"";"";"Městské a obecní úřady";""
"Základní škola a Mateřská škola Černovice, příspěvková organizace";"62540106";"";"565 492 127";"";"";"Nováková Jana";"Česká republika";"";"Černovice";"394 94";"";"";"";"Školy";""
"Rodinné centrum Pecka z.s.";"26557444";"";"777 321 754";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"K Lochkovu 6";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Art4prmotion, s.r.o.";"26051583";"";"775 559 558";"";"";"Němcová Klára";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Hlinská 434/9";"";"";"Agentury";""
"Město České Velenice";"00246433";"";"702 143 457";"";"";"Žajdlíková-Karpíšková Katka";"Česká republika";"Jihočeský";"České Velenice";"378 10";"Revoluční 228";"";"";"Městské a obecní úřady";""
"Prais Karel";"5441101";"";"775 244 296";"";"";"Prais Karel";"Česká republika";"Severomoravský";"Ostrava";"729 29 ";"";"";"";"Agentury";""
"MERLET s.r.o.";"25728920";"";"602 37 62 38";"";"";"MgA.Zuzana Kučerová";"Česká republika";"Středočeský";"Praha ";"110 00";"Beranových 65";"";"";"Agentury";""
"Prostor pro všechny z. s.";"22733418";"";"724 951 025";"";"";"Mikušiak Robin";"Česká republika";"Jihočeský";"Písek";"397 01";"Komenského 87/16";"";"";"Agentury";""
"Městská část Praha-Slivenec";"241661";"";"736 621 893";"";"";"Kudláková Lenka";"Česká republika";"";"Praha ";"110 00";"";"";"";"Městské a obecní úřady";""
"Základní škola a Mateřská škola Plavsko";"70985022";"";"605 745 664";"";"";"Marušáková Iveta";"Česká republika";"Jihočeský";"Stráž nad Nežárkou";"378 02";"Plavsko 39";"";"";"Školy";""
"Městská kulturní zařízení v Litoměřicích";"44557141";"";"724 784 499";"";"";"Husáková Eva";"Česká republika";"Severočeský";"Litoměřice";"412 01";"Na Valech 2028";"";"";"Divadla,Kulturní zařízení";""
"Za Trojku";"00879738";"";"774 167 865";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Čajkovského 12 / 12a Žižkov";"";"";"Agentury";""
"Obec Veleň";"00240940";"";"607 674 937";"";"";"Nedorostova Bohuna";"Česká republika";"Středočeský";"Veleň";"250 63";"Hlavní 7";"";"";"Městské a obecní úřady";""
"Smazat";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Národní památkový ústav";"75032333";"";"327 398 595";"";"";"Koňaříková Alena";"Česká republika";"";"Žleby";"285 61";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"ZŠ a Mš Ludkovice";"70996962";"";"";"";"";"Gavendová Vladimíra";"Česká republika";"Jihomoravský";"Ludkovice";"763 41";"Ludkovice 7";"";"";"Školy";""
"Okrašlovací spolek přátel Černého vršku o.s.";"22828788";"";"732 156 122";"";"";"Suchý Tomáš";"Česká republika";"";"Beroun";"266 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Třešť";"286753";"";"602 771 634";"";"";"";"Česká republika";"";"Třešť";"589 01";"";"";"";"Městské a obecní úřady";""
"Jihočeská filharmonie";"00396036";"";"774 352 536";"";"";"Gabriela Vermelho";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Kněžská 411/6";"";"";"Agentury";""
"Jatka78 z.ú.";"04085345";"";"724 474 710";"";"";"Bětka Hocková";"Česká republika";"Středočeský";"Praha ";"110 00";"Šumavská 1048/21,";"";"";"Agentury";""
"Město Netolice";"00250601";"";"728 309 141";"";"";"Jiřina Petrášková";"Česká republika";"Jihočeský";"Netolice";"384 11";"Mírové náměstí 208";"";"";"Městské a obecní úřady";""
"Městské kulturní středisko Strakonice";"00367869";"";"602 106 130";"";"";"Skoupilová Dana";"Česká republika";"Jihočeský";"Strakonice";"386 01";"Mírová 831";"";"";"Divadla,Kulturní zařízení";""
"Kulturní středisko Dobříš";"00874531";"";"608 971 650";"";"";"Kastnerová Jindřiška";"Česká republika";"Středočeský";"Dobříš";"263 01";"Mírové náměstí 68";"";"";"Divadla,Kulturní zařízení";""
"YPO Czech Chapter z. s.";"22682902";"";"739 542 801";"";"";"Tereza Frycová";"Česká republika";"Středočeský";"Praha ";"110 00";"Korandova 220/2";"";"";"Agentury";""
"Divadelní společnost Vltavan, z.s.";"14502232";"";"603 253 827";"";"";"Slepička Lukáš";"Česká republika";"Jihočeský";"Týn nad Vltavou ";"375 01";"Zámecké nádvoří 783";"";"";"Agentury";""
"BEJBYPANK CZ s.r.o.";"24812471";"";"728 583 010";"";"";"Kopic Michal";"Česká republika";"Středočeský";"Kolín";"280 02";"Zámecká 85";"";"";"Agentury";""
"Město Zliv";"00245721";"";"602 417 103";"";"";"";"Česká republika";"";"Zliv";"373 44";"";"";"";"Městské a obecní úřady";""
"Jachetní klub Černá v Pošumaví z.s.";"12889920";"";"777 269 020";"";"";"";"Česká republika";"";"Černá v Pošumaví";"382 23";"";"";"";"Agentury";""
"Obec Čakov";"00581216";"";"723 872 897";"";"";"Šišpelová Lenka";"Česká republika";"";"Čakov";"373 84";"";"";"";"Městské a obecní úřady";""
"T klub - kulturní agentura, příspěvková organizace";"44740743";"";"731 504 216";"";"";"Cibulcová Daniela";"Česká republika";"";"Rožnov pod Radhoštěm";"756 61";"";"";"";"Divadla,Kulturní zařízení";""
"Bartoloměj z.s.";"4117913";"";"602 344 561";"";"";"";"Česká republika";"";"";"";"";"";"";"Agentury";""
"Armentum, z.s.";"26615738";"";"605 441 718";"";"";"Krtička Tomáš";"Česká republika";"";"Hradec Králové";"500 02";"";"";"";"Agentury";""
"Město Černošice";"00241121";"";"602 200 817";"";"";"Blaženín Pavel";"Česká republika";"";"Černošice";"252 28";"";"";"";"Městské a obecní úřady";""
"Společenské centrum Trutnovska pro kulturu a volný čas";"72049537";"";"739 576 613";"";"";"Zivrová Jaroslava";"Česká republika";"Severočeský";"Trutnov";"541 01";"náměstí Republiky 999";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Liberecký kraj";"70891508";"";"739 541 537";"";"";"Masáková Anna";"Česká republika";"Severočeský";"Liberec";"460 07";"U Jezu 642/2a";"";"";"Městské a obecní úřady";""
"Město Hustopeče";"00283193";"";"775 095 525";"";"";"Ondrová Martina";"Česká republika";"";"Hustopeče";"693 01";"";"";"";"Městské a obecní úřady";""
"Amenity Resorts s.r.o.";"27650626";"";"602 413 043";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Obec Čížová";"00249602";"";"606 774 077";"";"";"Jitka Kotenová";"Česká republika";"";"Čížová";"39 831";"";"";"";"Městské a obecní úřady";""
"Gymnázium, základní škola a mateřská škola Mánesova s.r.o.";"25232991";"";"720 394 096 - 777 929 331";"";"";"Hanka Broďáni";"Česká republika";"Západočeský";"Sokolov";"356 01";"Mánesova 1672";"";"";"Školy";""
"ZL Production s.r.o.";"26398443";"";"737 339 339";"";"";"Lipert Jan ";"Česká republika";"Západočeský";"Plzeň";"301 00";"Brojova 2113/16";"";"";"Agentury";""
"Slezská univerzita v Opavě";"47813059";"";"777 738 434";"";"";"Finkeová Jasmína";"Česká republika";"";"Opava";"746 01";"";"";"";"";""
"Město Duchcov,kulturní centrum Duchcov";"00266299";"";"720 737 451";"";"";"Jelínková Alena";"Česká republika";"";"Duchcov";"419 01";"";"";"";"Městské a obecní úřady";""
"Římskokatolická farnost u kostela sv. Františka z Assisi Praha - Chodov";"61379701";"";"733 770 847";"";"";"Hamalová Vlasta";"Česká republika";"";"Praha ";"110 00";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obec Ktiš";"00250503";"";"608 440 768";"";"";"Kollerová Frková Zuzana";"Česká republika";"";"Ktiš";"384 03";"";"";"";"Městské a obecní úřady";""
"Díky, že můžem, z. s.";"05146895";"";"774 806 154";"";"";"Ostružár David";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Petra Brčáková";"";"";"725 402 472";"";"";"Brčáková Petra";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Základní škola Valašská Bystřice, okres Vsetín";"48773689";"";"777 240 339";"";"";"Halačka Radek";"Česká republika";"";"Valašská Bystřice";"756 27";"";"";"";"Školy";""
"Základní škola a Mateřská škola Hosín";"03657086";"";"739 027 882";"";"";"Hájková Katka";"Česká republika";"";"Hosín";"373 41";"";"";"";"Školy";""
"Dr.Jitka Válková";"";"";"725 825 597";"";"";"Válková Jitka";"Česká republika";"";"Chlum u Třeboně";"378 04";"";"";"";"";""
"Kulturní Gang Březnice, z.s.";"22672184";"";"606 115 251";"";"";"Nesvedová Dagmar";"Česká republika";"";"Březnice";"262 72";"";"";"";"Agentury";""
"Tereza Frycová";"";"";"739 542 801";"";"";"Frycová Tereza";"Česká republika";"";"Rožmberk nad Vltavou";"382 18";"";"";"";"";""
"Základní škola Duhovka, s.r.o.";"25625845";"";"777 774 004";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Školy";""
"Zimmermann Milan";"";"";"";"";"";"Zimmermann Milan";"Česká republika";"";"Rakovník";"269 01";"";"";"";"Agentury";""
"Karel Prais";"Karel Prais";"";"775 244 296";"";"";"Prais Karel";"Česká republika";"";"Ostrava";"729 29 ";"";"";"";"Agentury";""
"Městská část Praha-Zbraslav";"00241857";"";"724 067 726";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Městské a obecní úřady";""
"Národní hřebčín Kladruby nad Labem";"72048972";"";"";"";"";"";"Česká republika";"";"Kladruby nad Labem";"533 14";"";"";"";"Agentury";""
"Obec Hlincová Hora";"00581321";"";"607 875 607";"";"";"";"Česká republika";"";"";"";"";"";"";"";""
"Viera Events, s.r.o.";"28461070";"";"604 343 013";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Městská část Praha-Slivenec";"00241661";"";"736 621 893";"";"";"Kudláková Lenka";"Česká republika";"";"Praha ";"110 00";"";"";"";"Městské a obecní úřady";""
"Obec Hosín";"00244937";"";"";"";"";"";"Česká republika";"";"Hosín";"373 41";"";"";"";"Městské a obecní úřady";""
"PDT volnočasový z.s.";"06034195";"";"778 754 592";"";"";"Kateřina Kodysová";"Česká republika";"Jihomoravský";"Brno";"614 00";"Purkyňova 648/125";"";"";"Agentury";""
"Městské kulturní středisko Tišnov";"49457543";"";"734 267 879";"";"";"Alena Ochrymčuková";"Česká republika";"";"Tišnov";"666 01";"";"";"";"Agentury";""
"České muzeum stříbra, příspěvková organizace";"00342246";"";"602 940 670";"";"";"Hrabánková Světlana";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"Barborská 28/9";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"MULTIFUNKČNÍ CENTRUM DLABAČOV s.r.o.";"02254361";"";"777 567 412";"";"";"Charvátová Kristina";"Česká republika";"Středočeský";"Praha ";"110 00";"Na Pankráci 1062/58";"";"";"Agentury";""
"Dea Dealbata, z.s.";"27020061";"";"732249967";"";"";"";"Česká republika";"";"Pardubice";"530 02";"";"";"";"Agentury";""
